user_id,n_spots,spots,weighted_spots
2203,13,"[(47.395013, 8.551618, 'temporary stream', '2020-09', '2024-05'), (47.395864, 8.554719, 'temporary stream', '2020-10', '2024-05'), (47.389403, 8.56156, 'temporary stream', '2020-10', '2024-05'), (47.391386, 8.560455, 'temporary stream', '2020-10', '2024-05'), (47.395096, 8.570016, 'temporary stream', '2020-11', '2024-05'), (47.38787, 8.563581, 'temporary stream', '2020-11', '2024-05'), (47.396384, 8.567287, 'temporary stream', '2020-11', '2024-05'), (47.397035, 8.563857, 'temporary stream', '2021-01', '2024-05'), (47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06'), (47.391693, 8.555383, 'temporary stream', '2020-10', '2023-06'), (47.127686, 8.743197, 'virtual scale', '2019-02', '2020-10'), (47.396246, 8.547143, 'temporary stream', '2021-02', '2022-04'), (47.39574, 8.547442, 'temporary stream', '2021-02', '2022-04')]",1.092
34459,3,"[(51.602487, -0.880738, 'temporary stream', '2020-04', '2026-04'), (51.581133, -0.873914, 'temporary stream', '2020-04', '2026-04'), (47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06')]",1.029
56020,1,"[(38.910211, -77.318062, 'virtual scale', '2021-09', '2023-02')]",1.0
85987,2,"[(41.970688, 75.750345, 'virtual scale', '2024-08', '2025-11'), (41.572633, 75.868988, 'virtual scale', '2024-09', '2025-10')]",1.0
476,2,"[(48.179503, 16.259209, 'temporary stream', '2021-02', '2023-06'), (48.179503, 16.259209, 'temporary stream', '2023-08', '2025-06')]",1.0
40769,1,"[(51.018813, 13.758159, 'virtual scale', '2021-03', '2022-12')]",1.0
5514,1,"[(48.125518, 15.129206, 'virtual scale', '2018-03', '2019-08')]",1.0
78277,1,"[(53.891861, -9.17126, 'virtual scale', '2023-08', '2025-05')]",1.0
829,2,"[(48.179503, 16.259209, 'temporary stream', '2021-02', '2023-06'), (48.179503, 16.259209, 'temporary stream', '2023-08', '2025-06')]",1.0
29254,1,"[(52.412136, 13.825961, 'physical scale', '2020-08', '2021-07')]",1.0
15038,1,"[(37.43407, -8.454358, 'temporary stream', '2019-04', '2020-04')]",1.0
11960,2,"[(39.790712, 2.690237, 'temporary stream', '2019-03', '2020-02'), (39.790791, 2.693782, 'temporary stream', '2019-03', '2020-02')]",1.0
77727,1,"[(52.858377, -6.106779, 'virtual scale', '2023-03', '2024-05')]",1.0
87715,2,"[(41.970688, 75.750345, 'virtual scale', '2024-08', '2025-11'), (41.572633, 75.868988, 'virtual scale', '2024-09', '2025-10')]",1.0
72995,1,"[(39.10845, -121.338653, 'physical scale', '2023-08', '2025-04')]",1.0
31773,1,"[(52.193365, 9.082108, 'temporary stream', '2020-09', '2025-11')]",1.0
24232,1,"[(47.246763, 8.629945, 'virtual scale', '2019-12', '2020-11')]",1.0
29636,13,"[(47.395013, 8.551618, 'temporary stream', '2020-09', '2024-05'), (47.395864, 8.554719, 'temporary stream', '2020-10', '2024-05'), (47.391566, 8.557843, 'temporary stream', '2020-10', '2024-05'), (47.389403, 8.56156, 'temporary stream', '2020-10', '2024-05'), (47.391386, 8.560455, 'temporary stream', '2020-10', '2024-05'), (47.395096, 8.570016, 'temporary stream', '2020-11', '2024-05'), (47.38787, 8.563581, 'temporary stream', '2020-11', '2024-05'), (47.392019, 8.569112, 'temporary stream', '2020-11', '2024-05'), (47.396384, 8.567287, 'temporary stream', '2020-11', '2024-05'), (47.395183, 8.570167, 'temporary stream', '2020-12', '2024-05'), (47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06'), (47.391693, 8.555383, 'temporary stream', '2020-10', '2023-06'), (47.391974, 8.552873, 'virtual scale', '2020-11', '2023-06')]",0.99
3072,3,"[(47.319702, 8.482807, 'temporary stream', '2021-08', '2022-11'), (47.318585, 8.482644, 'temporary stream', '2021-08', '2022-11'), (47.324408, 8.479897, 'temporary stream', '2021-05', '2022-06')]",0.917
5659,2,"[(47.726072, 13.065014, 'virtual scale', '2017-12', '2022-05'), (42.771621, 77.474021, 'virtual scale', '2024-08', '2025-09')]",0.833
4264,2,"[(47.726072, 13.065014, 'virtual scale', '2017-12', '2022-05'), (47.726031, 13.064971, 'soil moisture', '2018-12', '2020-09')]",0.833
2005,3,"[(47.789612, 13.068625, 'virtual scale', '2018-08', '2024-09'), (47.127686, 8.743197, 'virtual scale', '2019-02', '2020-10'), (47.391856, 8.523348, 'virtual scale', '2017-04', '2018-07')]",0.783
64580,5,"[(47.389403, 8.56156, 'temporary stream', '2020-10', '2024-05'), (47.392019, 8.569112, 'temporary stream', '2020-11', '2024-05'), (47.39214, 8.571244, 'temporary stream', '2021-05', '2024-05'), (47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06'), (47.396071, 8.56832, 'temporary stream', '2021-10', '2024-05')]",0.582
38316,6,"[(47.395013, 8.551618, 'temporary stream', '2020-09', '2024-05'), (47.391566, 8.557843, 'temporary stream', '2020-10', '2024-05'), (47.391386, 8.560455, 'temporary stream', '2020-10', '2024-05'), (47.390484, 8.560081, 'temporary stream', '2020-12', '2024-05'), (47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06'), (47.391693, 8.555383, 'temporary stream', '2020-10', '2023-06')]",0.521
15185,1,"[(51.060439, -115.328485, 'temporary stream', '2019-04', '2024-06')]",0.5
93483,1,"[(51.060439, -115.328485, 'temporary stream', '2019-04', '2024-06')]",0.5
93344,1,"[(51.571622, -0.870799, 'temporary stream', '2020-04', '2025-12')]",0.5
33894,1,"[(48.305487, 7.869942, 'virtual scale', '2020-10', '2024-08')]",0.5
32535,1,"[(48.327366, 16.216394, 'virtual scale', '2020-07', '2023-02')]",0.5
65630,1,"[(47.381577, 8.577933, 'temporary stream', '2021-09', '2022-11')]",0.5
87709,1,"[(42.771621, 77.474021, 'virtual scale', '2024-08', '2025-09')]",0.5
108071,1,"[(44.236064, -69.099955, 'physical scale', '2023-05', '2026-04')]",0.5
25791,1,"[(48.345657, 16.238686, 'virtual scale', '2020-07', '2023-02')]",0.5
17059,1,"[(45.929578, 5.347315, 'temporary stream', '2020-02', '2022-03')]",0.5
39422,1,"[(46.461532, 6.837685, 'virtual scale', '2021-05', '2024-11')]",0.5
37064,5,"[(47.389403, 8.56156, 'temporary stream', '2020-10', '2024-05'), (47.390484, 8.560081, 'temporary stream', '2020-12', '2024-05'), (47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06'), (47.391693, 8.555383, 'temporary stream', '2020-10', '2023-06'), (47.391974, 8.552873, 'virtual scale', '2020-11', '2023-06')]",0.403
28317,2,"[(-37.830344, -71.674649, 'virtual scale', '2020-05', '2021-07'), (-37.841612, -71.689968, 'virtual scale', '2020-05', '2021-04')]",0.367
28694,2,"[(-37.830344, -71.674649, 'virtual scale', '2020-05', '2021-07'), (-37.841612, -71.689968, 'virtual scale', '2020-05', '2021-04')]",0.367
28321,2,"[(-37.830344, -71.674649, 'virtual scale', '2020-05', '2021-07'), (-37.841612, -71.689968, 'virtual scale', '2020-05', '2021-04')]",0.367
28674,2,"[(-37.830344, -71.674649, 'virtual scale', '2020-05', '2021-07'), (-37.841612, -71.689968, 'virtual scale', '2020-05', '2021-04')]",0.367
28682,2,"[(-37.830344, -71.674649, 'virtual scale', '2020-05', '2021-07'), (-37.841612, -71.689968, 'virtual scale', '2020-05', '2021-04')]",0.367
6097,5,"[(47.389403, 8.56156, 'temporary stream', '2020-10', '2024-05'), (47.395096, 8.570016, 'temporary stream', '2020-11', '2024-05'), (47.392019, 8.569112, 'temporary stream', '2020-11', '2024-05'), (47.395183, 8.570167, 'temporary stream', '2020-12', '2024-05'), (47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06')]",0.342
7867,1,"[(47.789612, 13.068625, 'virtual scale', '2018-08', '2024-09')]",0.333
2258,2,"[(47.391386, 8.560455, 'temporary stream', '2020-10', '2024-05'), (47.324408, 8.479897, 'temporary stream', '2021-05', '2022-06')]",0.321
35073,6,"[(47.389403, 8.56156, 'temporary stream', '2020-10', '2024-05'), (47.391386, 8.560455, 'temporary stream', '2020-10', '2024-05'), (47.395096, 8.570016, 'temporary stream', '2020-11', '2024-05'), (47.38787, 8.563581, 'temporary stream', '2020-11', '2024-05'), (47.392019, 8.569112, 'temporary stream', '2020-11', '2024-05'), (47.396384, 8.567287, 'temporary stream', '2020-11', '2024-05')]",0.319
78311,4,"[(47.395096, 8.570016, 'temporary stream', '2020-11', '2024-05'), (47.38787, 8.563581, 'temporary stream', '2020-11', '2024-05'), (47.390484, 8.560081, 'temporary stream', '2020-12', '2024-05'), (47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06')]",0.295
62018,2,"[(47.396384, 8.567287, 'temporary stream', '2020-11', '2024-05'), (47.396071, 8.56832, 'temporary stream', '2021-10', '2024-05')]",0.295
59271,1,"[(47.388274, 8.564053, 'temporary stream', '2021-08', '2024-05')]",0.25
98295,1,"[(47.991777, 7.87952, 'physical scale', '2024-05', '2025-05')]",0.25
96924,1,"[(47.991777, 7.87952, 'physical scale', '2024-05', '2025-05')]",0.25
111117,1,"[(47.991777, 7.87952, 'physical scale', '2024-05', '2025-05')]",0.25
99151,1,"[(47.991777, 7.87952, 'physical scale', '2024-05', '2025-05')]",0.25
4152,1,"[(47.127686, 8.743197, 'virtual scale', '2019-02', '2020-10')]",0.25
39784,3,"[(47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06'), (47.391974, 8.552873, 'virtual scale', '2020-11', '2023-06'), (47.39574, 8.547442, 'temporary stream', '2021-02', '2022-04')]",0.231
39906,4,"[(47.395013, 8.551618, 'temporary stream', '2020-09', '2024-05'), (47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06'), (47.391693, 8.555383, 'temporary stream', '2020-10', '2023-06'), (47.391974, 8.552873, 'virtual scale', '2020-11', '2023-06')]",0.227
2277,1,"[(47.391856, 8.523348, 'virtual scale', '2017-04', '2018-07')]",0.2
2519,1,"[(47.391856, 8.523348, 'virtual scale', '2017-04', '2018-07')]",0.2
1996,1,"[(47.391856, 8.523348, 'virtual scale', '2017-04', '2018-07')]",0.2
4198,1,"[(47.391856, 8.523348, 'virtual scale', '2017-04', '2018-07')]",0.2
57568,3,"[(47.395013, 8.551618, 'temporary stream', '2020-09', '2024-05'), (47.396246, 8.547143, 'temporary stream', '2021-02', '2022-04'), (47.39574, 8.547442, 'temporary stream', '2021-02', '2022-04')]",0.19
57523,3,"[(47.395013, 8.551618, 'temporary stream', '2020-09', '2024-05'), (47.396246, 8.547143, 'temporary stream', '2021-02', '2022-04'), (47.39574, 8.547442, 'temporary stream', '2021-02', '2022-04')]",0.19
48606,4,"[(47.389403, 8.56156, 'temporary stream', '2020-10', '2024-05'), (47.38787, 8.563581, 'temporary stream', '2020-11', '2024-05'), (47.392019, 8.569112, 'temporary stream', '2020-11', '2024-05'), (47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06')]",0.188
36554,4,"[(47.395013, 8.551618, 'temporary stream', '2020-09', '2024-05'), (47.389403, 8.56156, 'temporary stream', '2020-10', '2024-05'), (47.396384, 8.567287, 'temporary stream', '2020-11', '2024-05'), (47.391693, 8.555383, 'temporary stream', '2020-10', '2023-06')]",0.185
38289,3,"[(47.391386, 8.560455, 'temporary stream', '2020-10', '2024-05'), (47.38787, 8.563581, 'temporary stream', '2020-11', '2024-05'), (47.392019, 8.569112, 'temporary stream', '2020-11', '2024-05')]",0.177
28688,1,"[(-37.830344, -71.674649, 'virtual scale', '2020-05', '2021-07')]",0.167
51761,3,"[(47.389403, 8.56156, 'temporary stream', '2020-10', '2024-05'), (47.38787, 8.563581, 'temporary stream', '2020-11', '2024-05'), (47.392019, 8.569112, 'temporary stream', '2020-11', '2024-05')]",0.158
5462,2,"[(47.396384, 8.567287, 'temporary stream', '2020-11', '2024-05'), (47.391974, 8.552873, 'virtual scale', '2020-11', '2023-06')]",0.157
45549,2,"[(47.395013, 8.551618, 'temporary stream', '2020-09', '2024-05'), (47.391974, 8.552873, 'virtual scale', '2020-11', '2023-06')]",0.155
59268,2,"[(47.395013, 8.551618, 'temporary stream', '2020-09', '2024-05'), (47.395864, 8.554719, 'temporary stream', '2020-10', '2024-05')]",0.155
77374,2,"[(47.395013, 8.551618, 'temporary stream', '2020-09', '2024-05'), (47.395864, 8.554719, 'temporary stream', '2020-10', '2024-05')]",0.155
51009,2,"[(47.396246, 8.547143, 'temporary stream', '2021-02', '2022-04'), (47.39574, 8.547442, 'temporary stream', '2021-02', '2022-04')]",0.146
51017,2,"[(47.396246, 8.547143, 'temporary stream', '2021-02', '2022-04'), (47.39574, 8.547442, 'temporary stream', '2021-02', '2022-04')]",0.146
59554,2,"[(47.391386, 8.560455, 'temporary stream', '2020-10', '2024-05'), (47.38787, 8.563581, 'temporary stream', '2020-11', '2024-05')]",0.127
38059,2,"[(47.391386, 8.560455, 'temporary stream', '2020-10', '2024-05'), (47.392019, 8.569112, 'temporary stream', '2020-11', '2024-05')]",0.121
37357,1,"[(47.395864, 8.554719, 'temporary stream', '2020-10', '2024-05')]",0.111
57517,2,"[(47.395013, 8.551618, 'temporary stream', '2020-09', '2024-05'), (47.396246, 8.547143, 'temporary stream', '2021-02', '2022-04')]",0.099
57582,2,"[(47.395013, 8.551618, 'temporary stream', '2020-09', '2024-05'), (47.396246, 8.547143, 'temporary stream', '2021-02', '2022-04')]",0.099
39177,2,"[(47.389403, 8.56156, 'temporary stream', '2020-10', '2024-05'), (47.391693, 8.555383, 'temporary stream', '2020-10', '2023-06')]",0.096
