latitude,longitude,Country,Region,streak_days,streak_start,streak_end,n_users,user_ids,n_obs,Category
47.378601,8.582788,Switzerland,Zürich,421.0,2021-09-26,2022-11-21,1,[35124],52,temporary stream
47.390763,8.580509,Switzerland,Zürich,421.0,2021-09-26,2022-11-21,2,"[35124, 11370]",53,temporary stream
47.390136,8.581164,Switzerland,Zürich,421.0,2021-09-26,2022-11-21,2,"[35124, 11370]",53,temporary stream
47.395954,8.575262,Switzerland,Zürich,417.0,2021-09-30,2022-11-21,2,"[35124, 11370]",52,temporary stream
47.985418,7.959271,Germany,Baden-Württemberg,417.0,2020-06-17,2021-08-08,1,[11290],200,virtual scale
46.973372,7.477991,Switzerland,Bern,417.0,2020-12-27,2022-02-17,1,[3065],77,physical scale
47.394524,8.576044,Switzerland,Zürich,417.0,2021-09-30,2022-11-21,2,"[35124, 11370]",52,temporary stream
47.39641,8.572059,Switzerland,Zürich,412.0,2021-10-05,2022-11-21,2,"[35124, 11370]",49,temporary stream
-37.830344,-71.674649,Chile,Bío-Bío,407.0,2020-05-16,2021-06-27,7,"[28674, 28321, 28317, 28694, 28682, 28688, 64798]",196,virtual scale
51.540098,-3.264515,United Kingdom,"Rhondda, Cynon, Taff",397.0,2020-12-19,2022-01-20,1,[17235],109,virtual scale
48.30787,7.88816,Germany,Baden-Württemberg,394.0,2021-02-10,2022-03-11,1,[33894],34,stream type
42.771621,77.474021,Kyrgyzstan,Ysyk-Köl,393.0,2024-09-21,2025-10-19,1,[87709],54,virtual scale
47.985418,7.959271,Germany,Baden-Württemberg,380.0,2021-10-10,2022-10-25,1,[11290],104,virtual scale
47.391856,8.523348,Switzerland,Zürich,377.0,2017-04-08,2018-04-20,5,"[2277, 2519, 2005, 1996, 4198]",60,virtual scale
51.602152,-0.880616,United Kingdom,Buckinghamshire,373.0,2022-01-20,2023-01-28,1,[27610],30,temporary stream
51.567633,-0.868554,United Kingdom,Buckinghamshire,372.0,2024-01-24,2025-01-30,1,[27610],27,temporary stream
-37.829512,-71.676122,Chile,Bío-Bío,371.0,2021-03-04,2022-03-10,4,"[28674, 28321, 28317, 64798]",91,virtual scale
