latitude,longitude,Country,streak_days,streak_start,streak_end,n_users,user_ids,n_obs,Category
47.391386,8.560455,Switzerland,642.0,2020-11-03,2022-08-07,12,"[11370, 35073, 35124, 29636, 6542, 2203, 38289, 39558, 38316, 2258, 38059, 59554]",198,temporary stream
48.327366,16.216394,Austria,638.0,2020-07-28,2022-04-27,2,"[29542, 32535]",211,virtual scale
47.393323,8.553011,Switzerland,634.0,2020-11-11,2022-08-07,30,"[35124, 29636, 35961, 2267, 34459, 6542, 37064, 11596, 11370, 38386, 38602, 38660, 2203, 38316, 39502, 39784, 39906, 38051, 44485, 48606, 52836, 52894, 36126, 6097, 29918, 59117, 63890, 6400, 64580, 53508]",207,temporary stream
47.726031,13.064971,Austria,626.0,2018-12-27,2020-09-13,2,"[2316, 4264]",562,soil moisture
47.03009,7.51161,Switzerland,604.0,2020-06-23,2022-02-17,1,[3065],203,virtual scale
48.179503,16.259209,Austria,601.0,2023-11-07,2025-06-30,2,"[476, 829]",184,temporary stream
47.395523,8.73067,Switzerland,587.0,2020-11-12,2022-06-22,1,[28919],504,virtual scale
47.395523,8.73067,Switzerland,583.0,2024-09-24,2026-04-30,1,[28919],548,virtual scale
47.394939,8.733537,Switzerland,583.0,2024-09-24,2026-04-30,1,[28919],547,virtual scale
47.391693,8.555383,Switzerland,562.0,2021-01-22,2022-08-07,18,"[37794, 35124, 2203, 38051, 38055, 11370, 11596, 6542, 37064, 39177, 38316, 39300, 39906, 52522, 53508, 53509, 57328, 36126]",163,temporary stream
47.392019,8.569112,Switzerland,558.0,2021-01-26,2022-08-07,13,"[35124, 11370, 38289, 38290, 35073, 38059, 48606, 51761, 11596, 53942, 56404, 6097, 64580]",121,temporary stream
47.391566,8.557843,Switzerland,558.0,2021-01-26,2022-08-07,6,"[35124, 11370, 6542, 38316, 29636, 36126]",147,temporary stream
47.391974,8.552873,Switzerland,558.0,2021-01-26,2022-08-07,7,"[35124, 6542, 37064, 39784, 39906, 45549, 5462]",133,virtual scale
44.236064,-69.099955,United States of America,539.0,2023-05-15,2024-11-04,1,[82037],244,physical scale
52.193365,9.082108,Germany,535.0,2021-03-21,2022-09-07,1,[31773],154,temporary stream
48.34563,16.239208,Austria,531.0,2021-01-04,2022-06-19,1,[29542],85,soil moisture
47.390484,8.560081,Switzerland,511.0,2021-03-14,2022-08-07,3,"[35124, 11370, 6542]",129,temporary stream
47.397035,8.563857,Switzerland,511.0,2021-03-14,2022-08-07,4,"[35124, 36126, 11596, 11370]",101,temporary stream
47.395183,8.570167,Switzerland,511.0,2021-03-14,2022-08-07,5,"[35124, 29636, 36126, 11370, 6097]",101,temporary stream
47.395864,8.554719,Switzerland,474.0,2021-03-09,2022-06-26,4,"[29636, 35124, 11370, 59268]",96,temporary stream
48.305487,7.869942,Germany,467.0,2021-01-07,2022-04-19,1,[33894],116,virtual scale
47.39214,8.571244,Switzerland,453.0,2021-05-11,2022-08-07,5,"[36126, 35124, 11596, 11370, 64580]",92,temporary stream
48.345657,16.238686,Austria,444.0,2020-07-27,2021-10-14,2,"[29542, 25791]",104,virtual scale
47.127686,8.743197,Switzerland,426.0,2019-04-18,2020-06-17,3,"[6542, 2203, 2005]",203,virtual scale
46.9904,7.450782,Switzerland,418.0,2019-09-23,2020-11-14,1,[3065],147,virtual scale
46.990429,7.450526,Switzerland,418.0,2019-09-23,2020-11-14,1,[3065],143,virtual scale
47.985418,7.959271,Germany,417.0,2020-06-17,2021-08-08,1,[11290],200,virtual scale
46.973372,7.477991,Switzerland,390.0,2021-01-23,2022-02-17,1,[3065],75,physical scale
47.395013,8.551618,Switzerland,387.0,2021-01-26,2022-02-17,13,"[35124, 2203, 11370, 6542, 38316, 39906, 45549, 57568, 57523, 57517, 57582, 2267, 59268]",138,temporary stream
47.388274,8.564053,Switzerland,359.0,2021-08-13,2022-08-07,4,"[11370, 35124, 59271, 6542]",73,temporary stream
47.388087,8.563878,Switzerland,359.0,2021-08-13,2022-08-07,3,"[11370, 35124, 6542]",62,temporary stream
-37.830344,-71.674649,Chile,358.0,2020-05-16,2021-05-09,7,"[28674, 28321, 28317, 28694, 28682, 28688, 64798]",188,virtual scale
46.989099,7.462622,Switzerland,339.0,2019-09-26,2020-08-30,1,[3065],75,soil moisture
47.789612,13.068625,Austria,319.0,2020-09-25,2021-08-10,1,[7867],128,virtual scale
47.381577,8.577933,Switzerland,317.0,2021-09-26,2022-08-09,2,"[35124, 65630]",46,temporary stream
47.391408,8.57954,Switzerland,317.0,2021-09-26,2022-08-09,2,"[35124, 11370]",45,temporary stream
47.390136,8.581164,Switzerland,317.0,2021-09-26,2022-08-09,2,"[35124, 11370]",45,temporary stream
47.383756,8.578685,Switzerland,317.0,2021-09-26,2022-08-09,1,[35124],44,temporary stream
47.377942,8.577293,Switzerland,317.0,2021-09-26,2022-08-09,1,[35124],44,temporary stream
47.394035,8.576515,Switzerland,317.0,2021-09-26,2022-08-09,2,"[35124, 11370]",45,temporary stream
47.378601,8.582788,Switzerland,317.0,2021-09-26,2022-08-09,1,[35124],44,temporary stream
47.376664,8.583599,Switzerland,317.0,2021-09-26,2022-08-09,1,[35124],44,temporary stream
47.390763,8.580509,Switzerland,317.0,2021-09-26,2022-08-09,2,"[35124, 11370]",45,temporary stream
47.391318,8.579599,Switzerland,317.0,2021-09-26,2022-08-09,2,"[35124, 11370]",45,temporary stream
47.394524,8.576044,Switzerland,313.0,2021-09-30,2022-08-09,2,"[35124, 11370]",44,temporary stream
47.395954,8.575262,Switzerland,313.0,2021-09-30,2022-08-09,2,"[35124, 11370]",44,temporary stream
47.303375,7.695009,Switzerland,311.0,2019-01-30,2019-12-07,1,[7079],146,virtual scale
48.179503,16.259209,Austria,309.0,2022-08-06,2023-06-11,2,"[476, 829]",70,temporary stream
47.396071,8.56832,Switzerland,304.0,2021-10-07,2022-08-07,4,"[35124, 11370, 62018, 64580]",60,temporary stream
47.789612,13.068625,Austria,302.0,2021-11-30,2022-09-28,2,"[7867, 2316]",104,virtual scale
48.179503,16.259209,Austria,277.0,2025-07-26,2026-04-29,1,[476],95,temporary stream
-27.548102,153.026157,Australia,277.0,2021-05-28,2022-03-01,1,[49909],257,temporary stream
47.942193,12.934135,Austria,275.0,2018-12-26,2019-09-27,2,"[2005, 11266]",69,virtual scale
42.771621,77.474021,Kyrgyzstan,274.0,2024-12-20,2025-09-20,1,[87709],42,virtual scale
52.193365,9.082108,Germany,271.0,2023-10-04,2024-07-01,1,[31773],63,temporary stream
-37.841612,-71.689968,Chile,271.0,2020-05-16,2021-02-11,5,"[28321, 28317, 28694, 28682, 28674]",150,virtual scale
46.461532,6.837685,Switzerland,260.0,2022-11-01,2023-07-19,1,[39422],118,virtual scale
48.179503,16.259209,Austria,260.0,2021-07-13,2022-03-30,1,[476],73,temporary stream
46.9904,7.450782,Switzerland,257.0,2018-10-13,2019-06-27,1,[3065],91,virtual scale
46.991798,7.464945,Switzerland,256.0,2018-10-13,2019-06-26,1,[3065],59,temporary stream
47.03009,7.51161,Switzerland,255.0,2018-10-15,2019-06-27,1,[3065],80,virtual scale
47.03009,7.51161,Switzerland,254.0,2019-09-24,2020-06-04,1,[3065],95,virtual scale
46.991798,7.464945,Switzerland,252.0,2019-09-26,2020-06-04,1,[3065],64,temporary stream
46.9904,7.450782,Switzerland,250.0,2020-11-29,2021-08-06,1,[3065],90,virtual scale
47.985406,7.959071,Germany,250.0,2019-10-07,2020-06-13,1,[11290],140,virtual scale
46.990429,7.450526,Switzerland,250.0,2020-11-29,2021-08-06,1,[3065],89,virtual scale
48.345657,16.238686,Austria,231.0,2021-10-31,2022-06-19,1,[29542],35,virtual scale
48.327366,16.216394,Austria,226.0,2022-08-12,2023-03-26,1,[29542],57,virtual scale
44.223495,-69.079544,United States of America,224.0,2023-05-16,2023-12-26,1,[82037],86,physical scale
47.391856,8.523348,Switzerland,214.0,2017-05-30,2017-12-30,4,"[2277, 2519, 2005, 1996]",42,virtual scale
52.193365,9.082108,Germany,212.0,2025-01-02,2025-08-02,1,[31773],45,temporary stream
50.332202,11.75482,Germany,209.0,2025-09-29,2026-04-26,3,"[99185, 109461, 125372]",44,physical scale
50.325051,11.738441,Germany,209.0,2025-09-29,2026-04-26,3,"[99185, 118665, 109461]",44,virtual scale
50.325182,11.738552,Germany,209.0,2025-09-29,2026-04-26,5,"[109460, 118667, 109461, 123381, 125372]",74,physical scale
50.332199,11.75478,Germany,209.0,2025-09-29,2026-04-26,1,[109461],43,soil moisture
50.325226,11.738534,Germany,209.0,2025-09-29,2026-04-26,2,"[109460, 109461]",43,soil moisture
50.331795,11.754986,Germany,209.0,2025-09-29,2026-04-26,3,"[99185, 109460, 109461]",44,virtual scale
39.767282,2.714691,Spain,207.0,2019-03-16,2019-10-09,1,[12938],41,temporary stream
50.343263,11.7755,Germany,204.0,2025-10-04,2026-04-26,1,[109461],44,soil moisture
50.343899,11.776177,Germany,204.0,2025-10-04,2026-04-26,1,[109461],44,temporary stream
50.343909,11.776228,Germany,204.0,2025-10-04,2026-04-26,1,[109461],45,temporary stream
44.235586,-69.100391,United States of America,203.0,2023-11-13,2024-06-03,1,[82037],45,virtual scale
46.461532,6.837685,Switzerland,199.0,2022-01-01,2022-07-19,1,[39422],82,virtual scale
47.985406,7.959071,Germany,198.0,2019-01-14,2019-07-31,1,[11290],45,virtual scale
48.328912,16.214674,Austria,190.0,2025-02-17,2025-08-26,1,[29542],72,temporary stream
48.328912,16.214674,Austria,186.0,2024-07-29,2025-01-31,1,[29542],53,temporary stream
-37.829512,-71.676122,Chile,184.0,2021-03-04,2021-09-04,2,"[28674, 64798]",60,virtual scale
46.9904,7.450782,Switzerland,182.0,2021-08-22,2022-02-20,1,[3065],35,virtual scale
48.305487,7.869942,Germany,180.0,2022-06-20,2022-12-17,1,[33894],28,virtual scale
