latitude,longitude,Country,streak_months,streak_start,streak_end,n_users,user_ids,n_obs,Category
46.991798,7.464945,Switzerland,48.0,2018-03,2022-02,1,[3065],271,temporary stream
48.305487,7.869942,Germany,47.0,2020-10,2024-08,2,"[33894, 11596]",233,virtual scale
51.558765,-0.868546,United Kingdom,47.0,2021-03,2025-01,1,[27610],102,temporary stream
47.395013,8.551618,Switzerland,45.0,2020-09,2024-05,23,"[11596, 11370, 2267, 35124, 29636, 36554, 2203, 6542, 38316, 39906, 45549, 57568, 57523, 57517, 57582, 59268, 71939, 71946, 77374, 78339, 65505, 95698, 51824]",270,temporary stream
47.03009,7.51161,Switzerland,45.0,2018-06,2022-02,1,[3065],431,virtual scale
48.108776,-1.76325,France,44.0,2021-10,2025-05,1,[16741],45,temporary stream
48.110065,-1.764881,France,44.0,2021-10,2025-05,1,[16741],44,temporary stream
47.395864,8.554719,Switzerland,44.0,2020-10,2024-05,9,"[11370, 29636, 35124, 37357, 2203, 2267, 59268, 36126, 77374]",174,temporary stream
47.391566,8.557843,Switzerland,44.0,2020-10,2024-05,6,"[11370, 35124, 29636, 6542, 38316, 36126]",226,temporary stream
47.389403,8.56156,Switzerland,44.0,2020-10,2024-05,19,"[11370, 35073, 35124, 29636, 37064, 6542, 36554, 2203, 39177, 36126, 48606, 51761, 64580, 67410, 74175, 6097, 32346, 85890, 95698]",284,temporary stream
47.391386,8.560455,Switzerland,44.0,2020-10,2024-05,14,"[11370, 35073, 35124, 29636, 6542, 2203, 38289, 39558, 38316, 2258, 38059, 59554, 76739, 88137]",270,temporary stream
48.107407,-1.759009,France,44.0,2021-10,2025-05,1,[16741],46,temporary stream
47.395096,8.570016,Switzerland,43.0,2020-11,2024-05,23,"[11370, 35073, 35124, 29636, 36538, 11596, 36807, 36849, 37202, 2203, 39441, 48424, 53539, 36126, 35174, 6097, 62555, 51631, 64372, 79585, 78311, 87707, 95035]",206,temporary stream
47.38787,8.563581,Switzerland,43.0,2020-11,2024-05,18,"[11370, 35073, 35124, 29636, 36890, 6542, 37366, 2203, 38289, 11596, 39502, 48606, 51761, 2267, 55655, 59554, 63890, 78311]",272,temporary stream
47.392019,8.569112,Switzerland,43.0,2020-11,2024-05,20,"[11370, 35073, 35124, 29636, 36304, 37070, 38289, 38290, 38059, 48606, 51761, 11596, 53942, 56404, 6097, 64580, 36126, 81536, 94682, 97223]",195,temporary stream
47.396384,8.567287,Switzerland,43.0,2020-11,2024-05,22,"[11370, 35043, 35073, 35069, 35124, 29636, 36554, 11596, 36854, 36858, 36538, 37245, 36126, 2203, 2267, 40016, 54127, 60224, 62018, 5462, 81011, 95268]",204,temporary stream
46.461532,6.837685,Switzerland,43.0,2021-05,2024-11,2,"[39422, 52314]",379,virtual scale
47.395183,8.570167,Switzerland,42.0,2020-12,2024-05,6,"[35124, 11370, 11596, 29636, 36126, 6097]",164,temporary stream
47.390484,8.560081,Switzerland,42.0,2020-12,2024-05,6,"[37064, 35124, 38316, 11370, 6542, 78311]",206,temporary stream
47.397035,8.563857,Switzerland,41.0,2021-01,2024-05,5,"[35124, 2203, 36126, 11596, 11370]",160,temporary stream
48.106765,-1.804526,France,38.0,2022-04,2025-05,1,[16741],41,temporary stream
46.989099,7.462622,Switzerland,38.0,2019-01,2022-02,1,[3065],203,soil moisture
48.088347,-1.779942,France,37.0,2022-05,2025-05,1,[16741],38,temporary stream
