user_id,n_spots,spots,weighted_spots
2277,1,"[(47.391856, 8.523348, 'virtual scale', '2017-05-30', '2017-12-03')]",0.25
2519,1,"[(47.391856, 8.523348, 'virtual scale', '2017-05-30', '2017-12-03')]",0.25
1996,1,"[(47.391856, 8.523348, 'virtual scale', '2017-05-30', '2017-12-03')]",0.25
5462,2,"[(47.391974, 8.552873, 'virtual scale', '2021-01-26', '2022-08-07'), (47.396384, 8.567287, 'temporary stream', '2021-03-14', '2022-08-07')]",0.243
51761,3,"[(47.389403, 8.56156, 'temporary stream', '2020-11-03', '2022-08-07'), (47.38787, 8.563581, 'temporary stream', '2020-11-03', '2022-08-07'), (47.392019, 8.569112, 'temporary stream', '2021-03-14', '2022-08-07')]",0.221
45549,2,"[(47.391974, 8.552873, 'virtual scale', '2021-01-26', '2022-08-07'), (47.395013, 8.551618, 'temporary stream', '2021-01-26', '2022-02-17')]",0.22
123381,1,"[(50.325182, 11.738552, 'physical scale', '2025-09-29', '2026-04-26')]",0.2
118667,1,"[(50.325182, 11.738552, 'physical scale', '2025-09-29', '2026-04-26')]",0.2
39784,2,"[(47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07'), (47.391974, 8.552873, 'virtual scale', '2021-01-26', '2022-08-07')]",0.176
38059,2,"[(47.391386, 8.560455, 'temporary stream', '2020-11-03', '2022-08-07'), (47.392019, 8.569112, 'temporary stream', '2021-03-14', '2022-08-07')]",0.174
2267,3,"[(47.38787, 8.563581, 'temporary stream', '2020-11-03', '2022-08-07'), (47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07'), (47.395013, 8.551618, 'temporary stream', '2021-01-26', '2022-02-17')]",0.169
28688,1,"[(-37.830344, -71.674649, 'virtual scale', '2020-05-20', '2020-12-17')]",0.167
59554,2,"[(47.38787, 8.563581, 'temporary stream', '2020-11-03', '2022-08-07'), (47.391386, 8.560455, 'temporary stream', '2020-11-03', '2022-08-07')]",0.142
38289,2,"[(47.38787, 8.563581, 'temporary stream', '2020-11-03', '2022-08-07'), (47.391386, 8.560455, 'temporary stream', '2020-11-03', '2022-08-07')]",0.142
39177,2,"[(47.389403, 8.56156, 'temporary stream', '2020-11-03', '2022-08-07'), (47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07')]",0.127
37245,1,"[(47.396384, 8.567287, 'temporary stream', '2021-03-14', '2022-08-07')]",0.1
60224,1,"[(47.396384, 8.567287, 'temporary stream', '2021-03-14', '2022-08-07')]",0.1
54127,1,"[(47.396384, 8.567287, 'temporary stream', '2021-03-14', '2022-08-07')]",0.1
40016,1,"[(47.396384, 8.567287, 'temporary stream', '2021-03-14', '2022-08-07')]",0.1
39502,2,"[(47.38787, 8.563581, 'temporary stream', '2020-11-03', '2022-08-07'), (47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07')]",0.092
63890,2,"[(47.38787, 8.563581, 'temporary stream', '2020-11-03', '2022-08-07'), (47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07')]",0.092
56404,1,"[(47.392019, 8.569112, 'temporary stream', '2021-03-14', '2022-08-07')]",0.091
